title,address,latitude,longitude,classification,planning_area,pa_population,pa_income,subzone,subzone_population,subzone_income,makan index,region,region_type,population,size,density,24 hours?,property_type
McDonald's City Square Mall,"180 Kitchener Road, #B1-03/05, City Square Mall, Singapore 208539",1.3113982,103.8565897,Medium,Kallang,101040,3.88154E-05,Lavender,10160,0.000431046,5.96,Central,RCR,101300,9.17,11046.89,No,Retail
McDonald's Toa Payoh Central,"600 Lor 4 Toa Payoh, #01-02, Singapore 319515",1.3340561,103.8509709,Low,Toa Payoh,128880,3.41194E-05,Toa Payoh Central,27630,0.000150232,5.89,Central,RCR,129250,8.17,15820.07,Yes,
McDonald's Potong Pasir,"Block 148 Potong Pasir Ave 1, #01-43, Singapore 350148",1.3326694,103.8680478,Medium,Toa Payoh,128880,3.41194E-05,Potong Pasir,11600,0.000366454,5.89,Central,RCR,129250,8.17,15820.07,No,
McDonald's Changi Airport Terminal 2 (T2) Transit Lounge,"Changi Airport Terminal 2 Departure/ Transit Lounge Central, #36-070, Singapore 819643",1.355322,103.988337,High,Changi,1830,0.00138553,Changi Bay,0,0,0,East,OCR,1640,40.61,40.38,No,
McDonald's Toa Payoh HDB Center,"490 Lor 6 Toa Payoh, #01-11 HDB Hub, Singapore 310490",1.3325896,103.8481317,Low,Toa Payoh,128880,3.41194E-05,Toa Payoh Central,27630,0.000150232,5.89,Central,RCR,129250,8.17,15820.07,No,
McDonald's Ang Mo Kio Park,"10 Ang Mo Kio Street 12, Singapore 567740",1.3724397,103.8447661,High,Ang Mo Kio,161570,2.84855E-05,Kebun Bahru,22270,0.0001742,6.08,North East,OCR,161900,13.94,11614.06,Yes,
McDonald's Seletar Mall,"33 Sengkang West Ave, #01-04/05/06 The Seletar Mall, Singapore 797653",1.3910661,103.8760583,Medium,Sengkang,253120,1.88842E-05,Fernvale,61210,7.36642E-05,6.46,North East,OCR,253250,10.59,23914.07,No,Retail
McDonald's Waterway Point,"83 Punggol Central, B2-07/K4 Waterway Point West Wing, Singapore 828761",1.40669,103.9021738,Medium,Punggol,186270,2.51548E-05,Punggol Town Centre,22730,0.000180237,6.39,North East,OCR,186270,9.34,19943.25,Yes,Retail
McDonald's Punggol Oasis,"Blk 681 Punggol Dr., #02-37/38 Oasis Terraces, Singapore 821669",1.4024701,103.9128724,Medium,Punggol,186270,2.51548E-05,Waterway East,51270,8.4459E-05,6.39,North East,OCR,186270,9.34,19943.25,No,HDB
McDonald's Plaza Singapura,"68 Orchard Road, #B1-23/24, Plaza Singapura, 68 Orchard Rd, #B1-23 24 Plaza, Singapore 238839",1.3007111,103.844904,Medium,Museum,620,0.002419355,Dhoby Ghaut,460,0.015217391,0,Central,RCR,300,0.83,361.45,No,Retail
