results,latitude,longitude
High,1.349849587,103.8339745
Medium,1.353062094,103.8397829
High,1.353979554,103.8329985
Medium,1.353296368,103.8382635
High,1.354507847,103.8287736
High,1.355744152,103.8282811
High,1.354075265,103.8367804
High,1.353533538,103.8371357
High,1.353323332,103.8298028
High,1.319333721,103.9118724
Medium,1.320402366,103.9060431
Medium,1.323926817,103.9064472
Medium,1.323400629,103.9178833
Medium,1.325861776,103.9164153
Medium,1.320840756,103.9076903
High,1.326577691,103.9140875
High,1.322361456,103.9138804
Medium,1.322175259,103.90968
Medium,1.3256771,103.9067707
Medium,1.318897961,103.9100326
Medium,1.327626426,103.9131444
Medium,1.326312806,103.9150928
Medium,1.319144237,103.9073257
Medium,1.321064108,103.909271
Medium,1.324607328,103.9072796
High,1.320670611,103.9153325
Medium,1.320480697,103.9091031
Medium,1.318897961,103.9100326
Medium,1.323284264,103.9071021
Medium,1.325622405,103.9138485
Medium,1.322083213,103.9063253
Medium,1.322426321,103.9099058
Medium,1.328655495,103.9144926
Medium,1.319389355,103.909098
Medium,1.325815138,103.9073104
Medium,1.321754744,103.9072892
Medium,1.326202634,103.9173179
High,1.279965053,103.8468659
Medium,1.275905201,103.8427412
Medium,1.281937294,103.8445472
High,1.281696109,103.8479521
Medium,1.282584181,103.8459541
Medium,1.279011464,103.8422028
High,1.2786516,103.8448965
High,1.278142789,103.8445493
Medium,1.280884951,103.8456551
Medium,1.283289043,103.8448114
Medium,1.278471924,103.8436969
Medium,1.280411049,103.8414804
Medium,1.279687311,103.8429402
Medium,1.284359578,103.8434268
Medium,1.278266967,103.8430348
Medium,1.28204887,103.8448326
Medium,1.275570062,103.8426834
Medium,1.278093515,103.8429453
Medium,1.278581796,103.8437216
Medium,1.283563546,103.8437083
Medium,1.278199755,103.8418294
Medium,1.283274261,103.8431871
Medium,1.281937294,103.8445472
Medium,1.283003936,103.8436495
High,1.279973145,103.8477013
High,1.280173924,103.8471616
High,1.279893076,103.8470213
High,1.342860743,103.7728611
High,1.340577162,103.7729176
High,1.344934824,103.7671974
High,1.34147393,103.772197
High,1.344876216,103.7690998
High,1.340554729,103.7700541
Medium,1.333487282,103.7670492
High,1.34055525,103.7732376
High,1.334493995,103.7678655
High,1.333961579,103.7679554
High,1.335290919,103.7665009
High,1.334646606,103.7711512
High,1.338576232,103.7665288
High,1.335690495,103.7693825
High,1.344764753,103.7702802
High,1.334940313,103.7725517
High,1.337342168,103.7705272
High,1.344301841,103.7734296
High,1.346286997,103.7648319
High,1.343206929,103.7729242
High,1.344978738,103.7718697
High,1.338452929,103.7661935
High,1.335056279,103.7726923
Medium,1.338304798,103.7735416
High,1.339283849,103.7657088
High,1.335685423,103.7693254
High,1.336279682,103.7651845
Medium,1.313596757,103.9030875
Medium,1.315532809,103.9011651
Medium,1.316339536,103.8993597
Medium,1.314818528,103.9018933
Medium,1.322716416,103.8985594
High,1.311936688,103.9013647
Medium,1.316072903,103.902303
High,1.310940247,103.8992027
Medium,1.320946204,103.8979488
Medium,1.312599494,103.8939634
Medium,1.314934187,103.9015241
Medium,1.316207503,103.8988273
Medium,1.31881487,103.8925808
Medium,1.315634297,103.9026612
Medium,1.313275999,103.9035972
Medium,1.315429739,103.9054531
Medium,1.31672515,103.8979774
Medium,1.314359043,103.9049606
Medium,1.313852341,103.8993971
Medium,1.312929613,103.9029504
Medium,1.316170514,103.899143
Medium,1.314618499,103.894738
High,1.3109648,103.9014485
Medium,1.313708131,103.8934584
Medium,1.313941863,103.903372
Medium,1.310790807,103.8979277
Medium,1.309464776,103.9066645
High,1.309070544,103.9058646
Medium,1.308369957,103.9071373
Medium,1.306716689,103.9041742
Medium,1.305782874,103.9054753
Medium,1.311308485,103.9071588
High,1.302576503,103.8976211
High,1.307291705,103.9005325
High,1.309943606,103.9049028
High,1.307918891,103.9016369
Medium,1.307701604,103.9072304
High,1.308972373,103.8981941
Medium,1.307792967,103.9025828
Medium,1.306511089,103.9061716
High,1.309134022,103.9049778
Medium,1.306248405,103.906293
Medium,1.307112019,103.903886
Medium,1.306807676,103.9069247
High,1.307758743,103.9000065
Medium,1.304845929,103.9069747
High,1.309727159,103.9056507
Medium,1.307146653,103.9038588
Medium,1.307232393,103.9053709
Medium,1.308132011,103.9077723
Medium,1.308671168,103.902351
Medium,1.337187826,103.8006944
Medium,1.328364391,103.8054213
Medium,1.337853241,103.8055414
Medium,1.332882317,103.8064506
Medium,1.330666471,103.8082141
Medium,1.32839143,103.8127512
Medium,1.336449445,103.8080084
Medium,1.328499845,103.8056273
Medium,1.328198658,103.8069539
Medium,1.333748224,103.7987314
Medium,1.336322783,103.8045881
