,Hse,subzone,area,density
145,12370,LORONG AH SOO,1.2315681356590518,10044.105268589476
146,3110,LORONG CHUAN,0.9590032035042225,3242.9505851867643
147,0,LORONG HALUS,1.0836740421003215,0.0
148,0,LORONG HALUS NORTH,0.7515806876263738,0.0
149,6150,LOWER SELETAR,6.867816868245382,895.4810703290094
150,710,LOYANG EAST,0.7899798175243533,898.7571381570293
151,0,LOYANG WEST,1.7115379086200035,0.0
152,140,MACKENZIE,0.04524741035399383,3094.099726475124
153,11650,MACPHERSON,1.0266723533071949,11347.339745218751
154,1180,MALCOLM,1.0719367483826225,1100.8112202333089
155,0,MANDAI EAST,5.880165460054553,0.0
156,690,MANDAI ESTATE,0.11632162732743821,5931.828980157684
157,0,MANDAI WEST,3.566248295640272,0.0
158,10550,MARGARET DRIVE,0.8341958679493942,12646.909922886369
159,0,MARINA CENTRE,0.7207481651531339,0.0
160,0,MARINA EAST,1.4984841186382658,0.0
161,0,MARINA EAST (MP),1.292325092706803,0.0
162,0,MARINA SOUTH,1.324856452162475,0.0
163,12680,MARINE PARADE,0.942644182919712,13451.523098275988
164,3100,MARITIME SQUARE,2.1929343228164115,1413.6310274986408
165,9290,MARYMOUNT,1.596122520034319,5820.355194161568
166,18330,MATILDA,1.152357078045402,15906.527888986344
167,0,MAXWELL,0.051734536838177435,0.0
168,8080,MEI CHIN,0.6083882295773844,13280.99329865858
169,9670,MIDVIEW,0.7609857811743089,12707.201946766758
170,740,MONK'S HILL,0.14030189189375009,5274.340851799762
171,6700,MOULMEIN,1.0949670413334396,6118.905635589551
172,2480,MOUNT EMILY,0.1576407386754303,15731.97398615419
173,240,MOUNT PLEASANT,2.555641242920506,93.90989469466207
174,4220,MOUNTBATTEN,1.3911481692113632,3033.465516755345
175,0,MURAI,55.706511438083844,0.0
176,5560,NASSIM,1.7033140804529012,3264.2247626589387
177,0,NATIONAL UNIVERSITY OF S'PORE,1.424897702133051,0.0
178,1550,NATURE RESERVE,3.365357905864823,460.5750839453981
179,340,NEE SOON,1.7933097424807258,189.59357212305684
180,240,NEWTON CIRCUS,0.17350871350057262,1383.2158348589678
181,570,NICOLL,0.4996943142472609,1140.6973898805463
182,3910,NORTH COAST,1.991791217867511,1963.0571542464163
183,0,NORTH-EASTERN ISLANDS,54.650150805576374,0.0
184,9310,NORTHLAND,1.2279265355648208,7581.886807029211
185,4630,NORTHSHORE,1.1160984985490923,4148.379382302652
186,990,ONE NORTH,1.6280250714944173,608.0987432774893
187,1600,ONE TREE HILL,0.27689247430704883,5778.416347371522
188,1750,ORANGE GROVE,0.2732188444629826,6405.121884764801
189,1250,OXLEY,0.16316154511782094,7661.118918047508
190,0,PANDAN,1.0668986524912163,0.0
191,0,PANG SUA,1.7678171126289939,0.0
192,0,PARK,1.1857573408044326,0.0
193,2870,PASIR PANJANG 1,0.8815105339200917,3255.775046994689
194,1370,PASIR PANJANG 2,0.6933201426834666,1975.999131797141
195,11270,PASIR RIS CENTRAL,1.2282836185571433,9175.405280776109
196,15580,PASIR RIS DRIVE,1.3325816902363936,11691.590927709793
197,3290,PASIR RIS PARK,1.397491785814714,2354.217773152767
198,0,PASIR RIS WAFER FAB PARK,4.32764518856402,0.0
199,10810,PASIR RIS WEST,1.286759303962391,8400.949553434082
200,300,PATERSON,0.1406809816334626,2132.4844091693594
201,0,PAYA LEBAR EAST,1.8359199606645227,0.0
202,0,PAYA LEBAR NORTH,1.0460326834904654,0.0
203,0,PAYA LEBAR WEST,0.4889836742003988,0.0
204,3330,PEARL'S HILL,0.45636760215889977,7296.7493403279495
205,3990,PEI CHUN,0.33431678594518516,11934.788104400488
206,10160,PENG SIANG,0.7010910659779712,14491.698001924382
207,0,PENJURU CRESCENT,2.4792720725498993,0.0
208,290,PEOPLE'S PARK,0.07423361218647496,3906.586133401666
209,0,PHILLIP,0.03204757441783394,0.0
210,0,PIONEER SECTOR,2.272693063011054,0.0
211,0,PLAB,5.732498566964251,0.0
212,0,PLANTATION,0.7306351687455257,0.0
213,0,PORT,6.180838223843533,0.0
214,5190,POTONG PASIR,0.5193825797520029,9992.633951023434
215,0,PULAU PUNGGOL BARAT,1.6659805118700457,0.0
216,0,PULAU PUNGGOL TIMOR,1.0237312050590792,0.0
217,0,PULAU SELETAR,1.3094212119492534,0.0
218,0,PUNGGOL CANAL,1.01776339902991,0.0
219,15740,PUNGGOL FIELD,1.1203976936183895,14048.583007313015
220,8100,PUNGGOL TOWN CENTRE,1.0255905413263902,7897.88875151317
221,150,QUEENSWAY,0.5110442702305151,293.51664569556755
222,0,RAFFLES PLACE,0.15339384787906307,0.0
223,5680,REDHILL,0.3149765176163702,18033.090349033675
