blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,latitude,longitude,polygon
1B,CANTONMENT RD,50,2009,Y,N,N,N,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1B CANTONMENT RD,1.27779940676005,103.841403430465,CHINATOWN
1C,CANTONMENT RD,50,2009,Y,N,N,N,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1C CANTONMENT RD,1.27744909387079,103.841666679651,CHINATOWN
1D,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1D CANTONMENT RD,1.27692024304713,103.841485788369,CHINATOWN
1E,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1E CANTONMENT RD,1.27662168427368,103.841156142262,CHINATOWN
1F,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1F CANTONMENT RD,1.27598699469414,103.841191762017,CHINATOWN
1G,CANTONMENT RD,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1G CANTONMENT RD,1.27553229128302,103.841274606704,CHINATOWN
10,BENDEMEER RD,7,2016,N,N,N,N,Y,N,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0,10 BENDEMEER RD,1.31550993783628,103.860952982979,BENDEMEER
10,CANTONMENT CL,5,2000,N,N,N,Y,Y,N,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,10 CANTONMENT CL,1.27456974280287,103.839212088396,EVERTON PARK
10,CHAI CHEE RD,15,1999,Y,Y,N,N,N,N,BD,84,0,0,0,56,28,0,0,0,0,0,0,0,10 CHAI CHEE RD,1.32727572366021,103.924803599281,KEMBANGAN
10,DAKOTA CRES,7,1958,Y,N,N,Y,N,N,GL,53,0,0,0,0,0,0,0,0,0,0,53,0,10 DAKOTA CRES,1.30634114614887,103.884458183612,ALJUNIED
10,EUNOS CRES,16,1977,Y,N,N,Y,N,N,GL,180,0,0,0,180,0,0,0,0,0,0,0,0,10 EUNOS CRES,1.32228655863065,103.902720513959,GEYLANG EAST
10,GLOUCESTER RD,14,1976,Y,N,N,Y,N,N,KWN,207,0,0,180,26,1,0,0,0,0,0,0,0,10 GLOUCESTER RD,1.31388788181031,103.852226892124,KAMPONG JAVA
10,HAIG RD,13,1976,Y,Y,N,N,N,N,GL,133,0,0,132,0,0,0,0,0,0,0,1,0,10 HAIG RD,1.3148464110566,103.895864993673,GEYLANG EAST
10,HOLLAND AVE,14,1973,Y,N,N,N,N,N,QT,101,0,0,0,101,0,0,0,0,0,0,0,0,10 HOLLAND AVE,1.30814997104791,103.794275184926,HOLLAND DRIVE
10,JLN BATU,12,1966,Y,N,N,Y,N,N,KWN,132,0,0,0,8,97,27,0,0,0,0,0,0,10 JLN BATU,1.30201289804622,103.882922881502,TANJONG RHU
10,JLN RUMAH TINGGI,4,1986,Y,N,N,N,N,N,BM,28,0,0,20,8,0,0,0,0,0,0,0,0,10 JLN RUMAH TINGGI,1.28820018880462,103.808369387433,ALEXANDRA HILL
10,JLN KUKOH,12,1970,Y,Y,N,Y,N,N,CT,92,0,72,16,4,0,0,0,0,0,0,0,0,10 JLN KUKOH,1.2869738344398,103.839075823483,PEARL'S HILL
10,JLN BT HO SWEE,10,1962,Y,N,N,N,N,N,BM,120,0,50,0,0,0,0,0,0,0,70,0,0,10 JLN BT HO SWEE,1.28745837020188,103.832675765986,BUKIT HO SWEE
10,JOO SENG RD,20,1982,Y,N,N,N,N,N,TP,76,0,0,0,0,76,0,0,0,0,0,0,0,10 JOO SENG RD,1.33461833377097,103.88016502252,JOO SENG
10,LOR 7 TOA PAYOH,25,1997,Y,N,N,N,N,N,TP,96,0,0,0,68,28,0,0,0,0,0,0,0,10 LOR 7 TOA PAYOH,1.33716527577081,103.857228807914,PEI CHUN
10,MARSILING DR,22,1975,Y,Y,N,N,N,N,WL,84,0,0,0,0,84,0,0,0,0,0,0,0,10 MARSILING DR,1.44080567418718,103.777318569996,WOODLANDS WEST
10,NTH BRIDGE RD,16,1973,Y,Y,N,N,N,N,KWN,224,0,0,0,0,0,0,0,0,224,0,0,0,10 NTH BRIDGE RD,1.3055523404779,103.863562821016,CRAWFORD
10,PINE CL,13,1981,Y,N,N,N,N,N,GL,120,0,0,72,48,0,0,0,0,0,0,0,0,10 PINE CL,1.30915239429834,103.882242524292,ALJUNIED
10,SELEGIE RD,10,1963,Y,Y,N,N,N,N,CT,48,0,0,48,0,0,0,0,0,0,0,0,0,10 SELEGIE RD,1.30370879401395,103.850537238747,BENCOOLEN
