,BusStopCode,RoadName,Description,Latitude,Longitude
564,14519,Sentosa Gateway,Resorts World Sentosa,1.25352193438281,103.82570322127442
565,14521,Artillery Ave,Village Hotel,1.256432,103.820911
566,14529,Artillery Ave,Opp Village Hotel,1.253226,103.821217
567,14539,Beach View,Beach Station Bus Terminal,1.251427,103.818545
568,15041,Alexandra Rd,Alexandra Retail Ctr,1.274632,103.801892
569,15049,Alexandra Rd,Opp Alexandra Retail Ctr,1.274590541032,103.80216344738955
570,15051,Alexandra Rd,Alexandra Pt,1.276978,103.8023815
571,15059,Alexandra Rd,Opp Alexandra Pt,1.27686194443878,103.80270111113056
572,15071,Sth Buona Vista Rd,Opp Lor Sarhad,1.28142472197061,103.78701416697068
573,15079,Sth Buona Vista Rd,Aft Lor Sarhad,1.28077893732919,103.78682778221345
574,15091,Sth Buona Vista Rd,Opp Natl Leadership Inst,1.28290732015735,103.78781105381566
575,15099,Sth Buona Vista Rd,Natl Leadership Inst,1.28305620100972,103.78789349372825
576,15101,Sth Buona Vista Rd,Opp LP 31,1.28617611097876,103.78562083299963
577,15109,Sth Buona Vista Rd,LP 30,1.28591970870508,103.78581066082835
578,15111,Sth Buona Vista Rd,Sci Pk 2/The Galen,1.28676277798099,103.78484166701072
579,15119,Sth Buona Vista Rd,Opp Sci Pk 2/The Galen,1.28703802671813,103.78501111787651
580,15121,Sth Buona Vista Rd,Sci Pk 2/The Gemini,1.2889414210404,103.78373044277906
581,15129,Sth Buona Vista Rd,Opp Sci Pk 2/The Gemini,1.28916467783169,103.78401870729115
582,15131,Sth Buona Vista Rd,Kent Ridge Stn,1.29254343742409,103.78448903561744
583,15139,Sth Buona Vista Rd,Kent Ridge Stn Exit B,1.29241000003008,103.7845849999835
584,15141,Pasir Panjang Rd,Labrador Pk Stn,1.27275860463579,103.80095947823813
585,15149,Pasir Panjang Rd,Opp Labrador Pk Stn,1.27341871854745,103.80055546758587
586,15151,Pasir Panjang Rd,Opp Mapletree Biz City,1.27389192906939,103.79822208982421
587,15159,Pasir Panjang Rd,Mapletree Business City,1.27426303773784,103.79839350407595
588,15161,Pasir Panjang Rd,Opp HarbourSide Bldg 2,1.27443806198132,103.79666055940478
589,15169,Pasir Panjang Rd,HarbourSide Bldg 2,1.27481499269165,103.79673994290195
590,15181,Science Pk Dr,Opp Ascent,1.29108496444522,103.78541356072027
591,15189,Science Pk Dr,Ascent,1.29079779477822,103.78550255759306
592,15191,Pasir Panjang Rd,Pasir Panjang Stn/Fc,1.27581227029734,103.79263571257981
593,15199,Pasir Panjang Rd,Opp Currency Hse,1.27604240853686,103.79318399639808
594,15201,Pasir Panjang Rd,Aft Pasir Panjang Stn,1.27680819120105,103.78970861437152
595,15209,Pasir Panjang Rd,Bef Pasir Panjang Stn,1.27706561928684,103.79023432729963
596,15211,Pasir Panjang Rd,Opp Pasir View Pk,1.27792442096507,103.78642808592167
597,15219,Pasir Panjang Rd,Pasir View Pk,1.27818114088895,103.78701031206879
598,15221,Pasir Panjang Rd,Aft Sth Buona Vista Rd,1.27949923466491,103.78548955401584
599,15229,Pasir Panjang Rd,Bef Sth Buona Vista Rd,1.27937638961898,103.78572727156029
600,16009,Clementi Rd,Kent Ridge Ter,1.29425341056334,103.76988323197696
601,16011,Pasir Panjang Rd,Opp Haw Par Villa Stn,1.28277766355314,103.78186930413443
602,16019,Pasir Panjang Rd,Haw Par Villa Stn,1.28278078585184,103.78217614858187
603,16021,Pasir Panjang Rd,Opp Gloria Mansion,1.28625793147796,103.77981027693801
604,16029,Pasir Panjang Rd,Gloria Mansion,1.28608472200879,103.78022138902949
605,16031,Pasir Panjang Rd,Opp S'pore Science Pk II,1.28800629048399,103.77846479413628
606,16039,Pasir Panjang Rd,S'pore Science Pk II,1.28799020188116,103.77872029260048
607,16041,Pasir Panjang Rd,OPP LUXE VILLE,1.2893086506189,103.77660095143266
608,16049,Pasir Panjang Rd,WHITEHAVEN,1.28910696351866,103.77738952047318
609,16051,Pasir Panjang Rd,The Crystal Tabernacle Ch,1.29014861601908,103.77426036615236
610,16059,Pasir Panjang Rd,Jamiyah Halfway Hse,1.28967266173408,103.77594136139503
611,16061,Pasir Panjang Rd,Opp Heng Mui Keng Terr,1.29046257201356,103.77356171611027
612,16069,Pasir Panjang Rd,Heng Mui Keng Terr,1.290648611,103.7736967
613,16071,Pasir Panjang Rd,Opp Pasir Panjang PO,1.29129940835907,103.77117221155989
